model,property,n_pairs,covered_correct,missing_correct,covered_accuracy,missing_accuracy,difference,covered_only,missing_only,discordant,mcnemar_exact_p,bootstrap_ci_low,bootstrap_ci_high
gemini-3.6-flash,P1132,12,11,11,0.9166666666666666,0.9166666666666666,0.0,1,1,2,1.0,-0.25,0.25
gemini-3.6-flash,P131,31,10,8,0.3225806451612903,0.25806451612903225,0.06451612903225806,7,5,12,0.7744140625,-0.16129032258064516,0.2903225806451613
gemini-3.6-flash,P2044,38,4,6,0.10526315789473684,0.15789473684210525,-0.05263157894736842,2,4,6,0.6875,-0.18421052631578946,0.07894736842105263
gemini-3.6-flash,P3450,22,21,20,0.9545454545454546,0.9090909090909091,0.045454545454545525,2,1,3,1.0,-0.09090909090909091,0.18181818181818182
gemini-3.6-flash,P580,10,9,8,0.9,0.8,0.09999999999999998,2,1,3,1.0,-0.2,0.4
gemini-3.6-flash,P641,30,29,29,0.9666666666666667,0.9666666666666667,0.0,1,1,2,1.0,-0.1,0.1
gpt-5.6-terra,P1132,12,5,9,0.4166666666666667,0.75,-0.3333333333333333,0,4,4,0.125,-0.5833333333333334,-0.08333333333333333
gpt-5.6-terra,P131,31,7,4,0.22580645161290322,0.12903225806451613,0.0967741935483871,7,4,11,0.548828125,-0.0967741935483871,0.2903225806451613
gpt-5.6-terra,P2044,38,6,2,0.15789473684210525,0.05263157894736842,0.10526315789473684,6,2,8,0.2890625,-0.02631578947368421,0.2631578947368421
gpt-5.6-terra,P3450,22,21,20,0.9545454545454546,0.9090909090909091,0.045454545454545525,2,1,3,1.0,-0.09090909090909091,0.22727272727272727
gpt-5.6-terra,P580,10,2,6,0.2,0.6,-0.39999999999999997,1,5,6,0.21875,-0.8,0.0
gpt-5.6-terra,P641,30,27,28,0.9,0.9333333333333333,-0.033333333333333326,2,3,5,1.0,-0.16666666666666666,0.1
