model,property,n_pairs,covered_nonanswers,missing_nonanswers,covered_nonanswer_rate,missing_nonanswer_rate,difference,covered_only,missing_only,discordant,mcnemar_exact_p
gemini-3.6-flash,P1132,12,0,1,0.0,0.08333333333333333,-0.08333333333333333,0,1,1,1.0
gemini-3.6-flash,P131,31,2,1,0.06451612903225806,0.03225806451612903,0.03225806451612903,2,1,3,1.0
gemini-3.6-flash,P2044,38,2,1,0.05263157894736842,0.02631578947368421,0.02631578947368421,2,1,3,1.0
gemini-3.6-flash,P3450,22,0,1,0.0,0.045454545454545456,-0.045454545454545456,0,1,1,1.0
gemini-3.6-flash,P580,10,0,0,0.0,0.0,0.0,0,0,0,1.0
gemini-3.6-flash,P641,30,1,1,0.03333333333333333,0.03333333333333333,0.0,1,1,2,1.0
gpt-5.6-terra,P1132,12,1,0,0.08333333333333333,0.0,0.08333333333333333,1,0,1,1.0
gpt-5.6-terra,P131,31,9,11,0.2903225806451613,0.3548387096774194,-0.06451612903225806,4,6,10,0.75390625
gpt-5.6-terra,P2044,38,15,25,0.39473684210526316,0.6578947368421053,-0.26315789473684215,2,12,14,0.012939453125
gpt-5.6-terra,P3450,22,1,2,0.045454545454545456,0.09090909090909091,-0.045454545454545456,1,2,3,1.0
gpt-5.6-terra,P580,10,1,0,0.1,0.0,0.1,1,0,1,1.0
gpt-5.6-terra,P641,30,1,2,0.03333333333333333,0.06666666666666667,-0.03333333333333333,1,2,3,1.0
