p31,label_en,label_kk,label_ru
Q1002697,periodical,periodical,периодическое издание
Q1003207,photovoltaic power station,Күн Электр Стансасы,Фотоэлектрическая солнечная электростанция
Q100773131,regional economy,regional economy,экономика региона
Q101401,bell,Қоңырау,колокол
Q102496,parish,parish,церковный приход
Q1029418,children's magazine,children's magazine,детский журнал
Q10313934,intermittent lake,intermittent lake,сезонное озеро
Q10379048,health technology,health technology,санитарные технологии
Q104179424,national ice hockey team,national ice hockey team,национальная сборная по хоккею с шайбой
Q104666804,rail transport by country or region,rail transport by country or region,железнодорожный транспорт по стране или региону
Q1047180,air defense force,Құрлықтағы әскердің әуе шабуылына қарсы қорғаныс әскерлері,Войска противовоздушной обороны
Q1047879,Public Notary,нотариат,нотариат
Q10517054,handball team,handball team,гандбольная команда
Q105390172,Roman Catholic metropolitan archdiocese,Roman Catholic metropolitan archdiocese,римско-католическая митрополия-архиепископия
Q10541491,legal form,legal form,правовая форма
Q105543609,musical work/composition,musical work/composition,музыкальное произведение/композиция
Q1057026,cargo airline,cargo airline,грузовая авиакомпания
Q105758208,power plant complex,power plant complex,power plant complex
Q105758271,multilateral development bank,multilateral development bank,многосторонний банк развития
Q105897950,agriculture by country or territory,agriculture by country or territory,сельское хозяйство на территории
Q105982452,branch naval fleet,branch naval fleet,branch naval fleet
Q105985,judiciary,Сот билігі,судебная власть
Q1060409,honor guard,honor guard,часовой
Q1061151,massif,Тау тізбегі,горный массив
Q106123,international E-road network,international E-road network,европейский автомобильный маршрут
Q1061648,sovereign wealth fund,sovereign wealth fund,суверенный фонд
Q106317256,nuclear arsenal,nuclear arsenal,ядерный арсенал
Q106861156,national road cycling championships - RR,national road cycling championships - RR,Национальные чемпионаты по шоссейному велоспорту - групповые гонки
Q106861159,national road cycling championships - ITT,national road cycling championships - ITT,Национальные чемпионаты по шоссейному велоспорту - индивидуальные гонки
Q106978510,international rail transit service,international rail transit service,international rail transit service
Q107099245,sport ministry,sport ministry,министерство спорта
Q10713454,water source,water source,источник воды
Q1072326,summit,Саммит,саммит
Q10729872,medical association,medical association,медицинская коллегия
Q107357104,type of dance,type of dance,тип танца
Q107359024,class of election,class of election,тип выборов
Q107427417,class of honorary consuls to a country,class of honorary consuls to a country,class of honorary consuls to a country
Q1076426,uxoricide,uxoricide,женоубийство
Q1076486,sports venue,спорт ғимараттары,спортивное сооружение
Q107679,cliff,Клиф,клиф
Q107738583,Wikidata property for authority control for sports athletes,Wikidata property for authority control for sports athletes,свойство Викиданных для нормативного контроля спортсменов
Q1078286,military band,military band,военный оркестр
Q1079023,championship,Чемпионат,чемпионат
Q108390245,North-West Russia Wiki-Historians User Group events,North-West Russia Wiki-Historians User Group events,Мероприятия Юзер-группы Вики-краеведов Северо-запада России
Q108395614,volleyball club,volleyball club,волейбольный клуб
Q108436459,dance by ethnic group,dance by ethnic group,танец по этнической группе
Q10855061,archaeological find,archaeological find,археологическая находка
Q10874184,China Railway train service,China Railway train service,China Railway train service
Q108788952,ethnic group by residency,ethnic group by residency,этническая группа на территории
Q1088552,Catholic church building,костел,костёл
Q109623729,association football club match,association football club match,футбольный матч клубных команд
Q1097949,literary language,әдеби тіл,литературный язык
Q11032,newspaper,газет,газета
Q11033,mass media,бұқаралық ақпарат құралы,средство массовой информации
Q110548223,proposed legislation,proposed legislation,предлагаемый законодательный акт
Q110706912,Islamic organization,Islamic organization,исламская организация
Q11086064,total solar eclipse,total solar eclipse,полное солнечное затмение
Q1110684,regulatory college,regulatory college,профессиональное объединение
Q11166728,television tower,теледидар мұнарасы,телебашня
Q11187131,2015 World Judo Championships,Дзюдодан әлем чемпионаты 2015,Чемпионат мира по дзюдо 2015
Q11197007,ethnoreligious group,ethnoreligious group,этнорелигиозная группа
Q11204,legislature,Заң шығарушы билік,орган законодательной власти
Q112128334,protected area of Kazakhstan of republican significance,protected area of Kazakhstan of republican significance,особо охраняемая природная территория республиканского значения Казахстана
Q11223998,IJF World Tour,IJF World Tour,IJF World Tour
Q1129474,cultural landscape,cultural landscape,культурный ландшафт
Q11303,skyscraper,Көктіреген,небоскрёб
Q113040113,national inventory of intangible cultural heritage,national inventory of intangible cultural heritage,национальный реестр нематериального культурного наследия
Q113065939,Embassy of the United States,Embassy of the United States,посольство США
Q11315,shopping center,сауда орталығы,торговый центр
Q113254938,spacecraft fleet,spacecraft fleet,Космический флот
Q113612628,language in an area,language in an area,язык на территории
Q11362251,World Judo Cadets Championships,World Judo Cadets Championships,World Judo Cadets Championships
Q11362400,World Team Judo Championships,World Team Judo Championships,World Team Judo Championships
Q113681824,opencast mine,opencast mine,opencast mine
Q113813711,coin type,coin type,тип монеты
Q113988536,recurring religious event,recurring religious event,recurring religious event
Q1140371,national identification number,national identification number,национальный идентификационный номер
Q1140419,ambiguity,ambiguity,неоднозначность
Q114055312,national baseball team,national baseball team,national baseball team
Q11410,game,ойын,игра
Q114342413,cancelled event,cancelled event,отменное мероприятие
Q114347110,Kazakhstan motorcycle Grand Prix,Kazakhstan motorcycle Grand Prix,Kazakhstan motorcycle Grand Prix
Q11448906,science award,science award,научная награда
Q11460,clothing,киім,одежда
Q114609228,recurring sporting event edition,recurring sporting event edition,версия повторяющегося спортивного события
Q1149061,language area,language area,языковое пространство
Q115110263,railway border crossing,railway border crossing,железнодорожное пересечение границы
Q115135140,futsal competition,futsal competition,соревнование по футзалу
Q1153191,online newspaper,online newspaper,интернет-издание
Q115346835,temperate steppe,temperate steppe,temperate steppe
Q1154710,association football venue,association football venue,футбольный стадион
Q11572907,order of succession,order of succession,Престолонаследие
Q115839789,basketball club,basketball club,баскетбольный клуб
Q115857096,aspect of history in a geographic region,aspect of history in a geographic region,исторический аспект в географическом регионе
Q116597750,association football derby,association football derby,дерби (футбол)
Q11691,stock exchange,Қор биржасы,фондовая биржа
Q116953048,beach soccer club,beach soccer club,пляжный футбольный клуб
Q11707,restaurant,мейрамхана,ресторан
Q117086260,national field hockey team,national field hockey team,сборная по хоккею на траве
Q117103628,national water polo team,national water polo team,national water polo team
Q117819097,women's basketball club,women's basketball club,женский баскетбольный клуб
Q117819211,men's basketball club,men's basketball club,мужской баскетбольный клуб
Q117819338,women's volleyball club,women's volleyball club,женский волейбольный клуб
Q11783626,athletics meeting,athletics meeting,соревнование по лёгкой атлетике
Q11796413,decoration,decoration,знак отличия
Q11812394,theatre company,theatre company,театральная организация
Q118188609,beach soccer competition,beach soccer competition,соревнование по пляжному футболу
Q118726613,military youth organisation,military youth organisation,military youth organisation
Q11892333,freedom of speech by country,freedom of speech by country,freedom of speech by country
Q1190554,occurrence,occurrence,событие
Q1193236,news media,news media,новостные СМИ
Q119442487,Kazakhstan Future Series,Kazakhstan Future Series,Kazakhstan Future Series
Q1194951,national sports team,national sports team,сборная
Q1196904,electronic publishing,electronic publishing,цифровое издание
Q1197685,public holiday,public holiday,государственный праздник
Q119942457,UCI Women's Continental Team,UCI Women's Continental Team,UCI Women's Continental Team
Q12018180,geomorphological system,geomorphological system,геоморфологическая система
Q12021235,,,гребень
Q120434264,Kazakhstan Badminton Championships,Kazakhstan Badminton Championships,Kazakhstan Badminton Championships
Q12057459,writers union,writers union,союз писателей
Q12075477,Islam of an area,Islam of an area,ислам на территории
Q120762065,Asian Road Cycling Championships - Men U19 RR,Asian Road Cycling Championships - Men U19 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (мужчины U19)
Q120762066,Asian Road Cycling Championships - Men U19 ITT,Asian Road Cycling Championships - Men U19 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (мужчины U19)
Q120762067,Asian Road Cycling Championships - Women U23 RR,Asian Road Cycling Championships - Women U23 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины U23)
Q120762068,Asian Road Cycling Championships - Women U23 ITT,Asian Road Cycling Championships - Women U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U23)
Q120762069,Asian Road Cycling Championships - Women U19 RR,Asian Road Cycling Championships - Women U19 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (женщины U19)
Q120762070,Asian Road Cycling Championships - Women U19 ITT,Asian Road Cycling Championships - Women U19 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U19)
Q12079191,artesian basin,Артезиан алабы,артезианский бассейн
Q1208380,dialect group,диалектілер тобы,группа диалектов языка
Q12091026,coal deposit,coal deposit,угольное месторождение
Q121182,information system,Ақпарат жүйесі,информационная система
Q12132769,oil and gas field,oil and gas field,нефтегазовое месторождение
Q12132780,oil and gas bearing province,oil and gas bearing province,нефтегазоносная провинция
Q12137573,Paleolithic site,Paleolithic site,палеолитическая стоянка
Q12139612,list,тізім,список
Q12140,medication,Дәрі-дәрмек,лекарственное средство
Q12149173,ore district,ore district,рудный район
Q12160242,art society,art society,творческий союз
Q12164334,professional holiday of Ukraine,professional holiday of Ukraine,профессиональный праздник на Украине
Q12174444,sink,ойыс,впадина
Q12184,pandemic,індет,пандемия
Q122204781,airport identification code,airport identification code,airport identification code
Q122329178,economic forum,economic forum,экономический форум
Q12266391,city of republican significance,Республикалық маңызы бар қала,город республиканского значения
Q12280,bridge,көпір,мост
Q12280169,animal husbandry of an area,animal husbandry of an area,животноводство на территории
Q12284,canal,канал,канал
Q12308941,male given name,ер адамның жеке есімі,мужское личное имя
Q123225013,Kazakhstan Junior International Badminton Championships,Kazakhstan Junior International Badminton Championships,Kazakhstan Junior International Badminton Championships
Q12323,dam,бөгет,плотина
Q123237442,sex trafficking by country or territory,sex trafficking by country or territory,sex trafficking by country or territory
Q123237961,abortion by country,abortion by country,аборты на территории
Q12332021,politics by country,politics by country,политика по странам
Q123480,landlocked country,Мұхитқа шыға алмайтын елдер,не имеющие выхода к морю государства
Q12353044,oil refinery,oil refinery,нефтеперерабатывающий завод
Q12357832,second-level administrative division,second-level administrative division,административная единица второго уровня
Q12357920,third-level administrative division,third-level administrative division,административная единица третьего уровня
Q123585930,reconstruction,reconstruction,реконструкция
Q12367307,complex emergency,complex emergency,комплексная катастрофа
Q123705,neighborhood,neighborhood,нейборхуд
Q123991,steppe,Дала,степь
Q124098638,Roman Catholic ecclesiastical province,Roman Catholic ecclesiastical province,римско-католическая церковная провинция
Q1241288,economic affairs ministry,economic affairs ministry,министерство экономики
Q12413618,international border,Мемлекеттік шекара,межгосударственная граница
Q124221947,One Earth Ecoregion,One Earth Ecoregion,One Earth Ecoregion
Q1244922,embankment dam,Жербөгет,насыпная плотина
Q1245089,promontory,promontory,возвышение
Q124556620,type of legal entity in Kazakhstan,type of legal entity in Kazakhstan,type of legal entity in Kazakhstan
Q124714,spring,бұлақтар,родник
Q124734,rebellion,Көтеріліс,восстание
Q1248784,airport,әуежай,аэропорт
Q12518,tower,Мұнара,башня
Q12540664,media distributor,Дистрибутор,дистрибьютор
Q1254874,television network,television network,телевизионная сеть
Q12552199,main gas pipeline,Магистральды газ құбыры,магистральный газопровод
Q125569386,university branch,university branch,филиал университета
Q125577386,foreign intelligence service,foreign intelligence service,Служба внешней разведки
Q12570,suspension bridge,Аспалы көпір,висячий мост
Q1262090,oil pipeline,oil pipeline,нефтепровод
Q1262712,gas pipeline,Газжүргізгіш,газопровод
Q1268865,light rail,light rail,легкорельсовый транспорт
Q1269299,type of business entity,type of business entity,тип юридического лица
Q12737077,occupation,қызмет түрі,род занятий
Q12765911,folkloristic group,folkloristic group,folkloristic group
Q12768272,Judaism of an area,Judaism of an area,иудаизм на территории
Q12806886,tea culture of an area,tea culture of an area,чайная культура территории
Q12830341,Eastern Orthodoxy of an area,Eastern Orthodoxy of an area,православие на территории
Q12830429,Protestantism of an area,Protestantism of an area,протестантизм на территории
Q12833777,Christianity of an area,Christianity of an area,христианство на территории
Q1288568,modern language,modern language,живой язык
Q12897688,Jehovah's Witnesses of an area,Jehovah's Witnesses of an area,Свидетели Иеговы на территории
Q12909644,political ideology,саяси идеология,политическая идеология
Q1292279,political border,Мемлекеттік шекара,политическая граница
Q12932380,Hinduism of an area,Hinduism of an area,индуизм на территории
Q12933353,Buddhism of an area,Buddhism of an area,буддизм на территории
Q12973014,sports team,sports team,спортивная команда
Q129882905,town administration of Kazakhstan,Кенттік әкімшілік,поселковая администрация в Казахстане
Q130003,ski resort,ski resort,горнолыжный курорт
Q130212458,village of Kazakhstan,Қазақстан ауылы,село в Казахстане
Q130282561,Address to the Nation of the President of Kazakhstan,Қазақстан президентінің Халыққа жолдауы,Послание народу президента Казахстана
Q130417640,Delegation of the European Union,Delegation of the European Union,Delegation of the European Union
Q13052937,Armenian Apostolic Church diocese,Armenian Apostolic Church diocese,епархия Армянской апостольской церкви
Q130639613,automobile repair shop chain,automobile repair shop chain,automobile repair shop chain
Q13073773,Catholic Church of an area,Catholic Church of an area,католицизм на территории
Q1313096,ministry of science,ministry of science,министерство науки и технологии
Q131324128,water polo club,water polo club,ватерпольный клуб
Q131437023,tax status,tax status,tax status
Q131459694,association football season,association football season,розыгрыш футбольного турнира
Q131569,treaty,Халықаралық келiсiмдер,международный договор
Q131647,medal,медаль,медаль
Q131681,reservoir,су қоймасы,водохранилище
Q1318941,stage race,stage race,многодневная велогонка
Q13197989,Sunni Islam of an area,Sunni Islam of an area,суннизм на территории
Q1322134,gulf,gulf,залив
Q132241,festival,festival,фестиваль
Q13226383,facility,facility,площадка
Q132834,madrasa,Медресе,медресе
Q1329623,cultural center,cultural center,культурный центр
Q133004,diaspora,Диаспора,диаспора
Q133056,mountain pass,асу,перевал
Q1331793,media company,media company,медиакомпания
Q133311,tribe,тайпа,племя
Q133346,border,Мемлекеттік шекара,граница географическая
Q1337424,Perry Groves,Perry Groves,Перри Гроувз
Q133744,tour operator,tour operator,туроператор
Q13393265,basketball team,basketball team,баскетбольная команда
Q13406463,Wikimedia list article,Wikimedia list article,статья-список в проекте Викимедиа
Q13406554,sports competition,sports competition,спортивное соревнование
Q13406660,civil rights movement,civil rights movement,движение за гражданские права
Q134161,joint-stock company,Акционерлік қоғам,акционерное общество
Q134447,nuclear power plant,Атом электр стансасы,атомная электростанция
Q1345691,international financial institution,international financial institution,международная финансовая организация
Q1345712,development strategy,development strategy,стратегия развития
Q1349015,GOST,GOST,межгосударственный стандарт
Q1349255,natural gas field,Газ кені,месторождение природного газа
Q135054036,men’s national volleyball team,men’s national volleyball team,мужская сборная страны по волейболу
Q135207825,international oil company,international oil company,international oil company
Q1353183,launch pad,launch pad,стартовый комплекс
Q135408445,men's national association football team,men's national association football team,мужская сборная по футболу
Q135409346,men's national ice hockey team,men's national ice hockey team,men's national ice hockey team
Q135409668,travel company,travel company,travel company
Q135728374,men's national bandy team,men's national bandy team,men's national bandy team
Q135728463,men's national basketball team,men's national basketball team,men's national basketball team
Q135747756,men's national water polo team,men's national water polo team,men's national water polo team
Q135747780,women's national ice hockey team,women's national ice hockey team,women's national ice hockey team
Q136408744,Research and Development (R&D) Center,Research and Development (R&D) Center,Research and Development (R&D) Center
Q1364157,philharmonic society,филармония,филармония
Q1364302,ministry of agriculture,ministry of agriculture,министерство сельского хозяйства
Q1365924,mineral spring,Минералды бұлақтар,минеральный источник
Q1366722,final,Финал,финал
Q136696275,Сhain of discounters,Сhain of discounters,Сеть дискаунтеров
Q1368262,National Paralympic Committee,National Paralympic Committee,Национальный паралимпийский комитет
Q1370598,structure of worship,structure of worship,культовое сооружение
Q137186904,transcontinental region,transcontinental region,трансконтинентальный регион
Q137455956,Defunct episcopal conference,Defunct episcopal conference,Defunct episcopal conference
Q137794598,ministry of Kazakhstan,ministry of Kazakhstan,ministry of Kazakhstan
Q13785326,2014 Fed Cup,2014 Fed Cup,Кубок Федерации 2014
Q137871518,nation in the New Wave competition,nation in the New Wave competition,страна в конкурсе Новая волна
Q138775,border guard,Шекара әскерлері,пограничные войска
Q138825,children's railway,Балалар темір жолы,детская железная дорога
Q1402443,border train station,border train station,приграничная железнодорожная станция
Q1402592,island group,island group,группа островов
Q140360298,,,купеческая династия
Q140362944,,,награды в географическом регионе
Q140678780,chess tournament edition,chess tournament edition,сезон шахматного турнира
Q140705642,emergency minister,emergency minister,emergency minister
Q1407225,television award,television award,награда в области телевидения
Q140892892,country sometimes considered transcontinental,country sometimes considered transcontinental,"возможно, трансконтинентальная страна"
Q1412205,armory,armory,Цейхгауз
Q1413677,justice ministry,Әділет министрлігі,министерство юстиции
Q1431554,apostolic administration,apostolic administration,апостольская администратура
Q1434274,agronym,agronym,урочище
Q14350,radio station,radio station,вещательная радиостанция
Q1437459,non-geologically related mountain range,non-geologically related mountain range,горы
Q1445650,holiday,мереке,праздник
Q1451906,women's organization,women's organization,женская организация
Q14659,coat of arms,Мемлекеттік герб (елтаңба),герб
Q146591,circle of latitude,circle of latitude,параллель
Q14660,flag,ту,флаг
Q14757767,fourth-level administrative division,fourth-level administrative division,административная единица четвёртого уровня
Q1478437,association football competition,association football competition,футбольный турнир
Q1478443,association football federation,association football federation,футбольная федерация
Q14941854,oil company,oil company,нефтяная компания
Q149621,district,district,дистрикт
Q1496456,2013 Fed Cup,2013 Fed Cup,Кубок Федерации 2013
Q149918,communications satellite,Байланыс серігі,спутник связи
Q1503257,magnetic observatory,magnetic observatory,magnetic observatory
Q15043657,Tour of Almaty,Алматы Туры 2013,Тур Алматы
Q150784,canyon,Каньон,каньон
Q15087423,ISO standard,ISO standard,стандарт ISO
Q15104814,land boundary,land boundary,сухопутная граница между странами
Q15104915,mineral deposit,Кенорын,месторождение полезных ископаемых
Q15141321,train service,train service,маршрут поезда
Q151885,concept,ұғым,понятие
Q1519799,ministry of health,ministry of health,министерство здравоохранения
Q15221623,bilateral relation,bilateral relation,двусторонние отношения
Q15229207,sports award,sports award,спортивная награда
Q15238777,legislative term,legislative term,срок полномочий законодательного органа
Q152559,macrolanguage,macrolanguage,макросемья языков по ISO 639-3
Q15275719,recurring event,recurring event,регулярное событие
Q15284636,presidential term,presidential term,президентский срок
Q1529128,postal service,postal service,почтовая компания
Q1530022,religious organization,Діни бірлестіктер,религиозная организация
Q15324,body of water,бөген,водный объект
Q15410549,public association,Қоғамдық бірлестіктер,общественное объединение
Q1546073,covert operation,covert operation,тайная операция
Q1550182,mine railway,mine railway,Шахтный электровоз
Q15617994,administrative territorial entity type,administrative territorial entity type,тип административно-территориальной единицы
Q15622363,sheep breed,sheep breed,порода овец
Q15642541,human-geographic territorial entity,human-geographic territorial entity,геополитическая область
Q157031,foundation,Айырбас,фонд
Q15711797,finance ministry,finance ministry,министерство финансов
Q15720476,volleyball team,volleyball team,волейбольная команда
Q1572070,youth organization,Балалар ұйымдары,молодёжная организация
Q1572791,buran,Боран,буран
Q15813069,housing series,housing series,серия дома
Q158438,arch bridge,arch bridge,арочный мост
Q158454,biosphere reserve,Адам және биосфера,биосферный заповедник ЮНЕСКО
Q1589009,privately held company,Жеке компания,частная компания
Q15911314,association,association,ассоциация
Q15911738,hydroelectric power station,су электр станциясы,гидроэлектростанция
Q1592877,tectonic uplift,tectonic uplift,тектоническое поднятие
Q159313,urban agglomeration,urban agglomeration,городская агломерация
Q159719,power station,электр стансасы,электростанция
Q15986354,basketball association,basketball association,баскетбольная федерация
Q15991303,association football league,association football league,футбольная лига
Q160091,plain,Жазық,равнина
Q1601458,combined heat and power station,Жылу Электр Орталығы,теплоэлектроцентраль
Q16043215,Sufism of an area,Sufism of an area,суфизм на территории
Q16117291,,,конституционный закон
Q1616075,television station,television station,телецентр
Q1620908,historical region,тарихи аймақ,историческая область
Q162633,academy,Академия,академия
Q162875,mausoleum,кесене,мавзолей
